TypeOfFood;Energy;Protein;Fat;Water;VitaminA;VitaminB1;VitaminB2;VitaminC
Lamb_chops_loin_raw;380;15;35;50;0;0.1;0.15;0
Lamb_leg_raw;240;18;19;63;0;0.14;0.25;0
Lamb_leg_roast;270;26;18;55;0;0.12;0.3;0
Lamb_scrag and neck_raw;300;16;28;56;0;0.1;0.2;0
Lamb_scrag and neck_stewed;290;26;21;53;0;0.04;0.2;0
Lamb_shoulder_raw;300;16;28;56;0;0.1;0.2;0
Lamb_shoulder_roast;320;20;26;54;0;0.1;0.2;0
Lard;900;0;100;0;0;0;0;0
Leeks_boiled;25;1.8;0;91;0;0.07;0.03;15
Leeks_raw;30;2;0;86;0;0.1;0.05;20
Lemon juice;5;0.3;0;90;0;0;0;50
Lemon curd;280;0;5;30;0;0;0;0
Lemon sole_fried in breadcrumbs;200;16;13;60;0;0.1;0.1;0
Lemon sole_raw;80;17;1.4;81;0;0.1;0.1;0
Lemon sole_steamed;90;21;1;77;0;0.1;0.1;0
Lemonade_bottled;20;0;0;95;0;0;0;0
Lemons;15;1;0;85;0;0.05;0.04;80
Lentils_boiled;100;8;0.5;72;0;0.1;0.04;0
Lentils_raw;300;24;1;12;10;0.5;0.2;0
Lettuce;10;1;0;96;200;0.07;0.08;15
Liquorice allsorts;310;4;2;7;0;0;0;0
Liver_stewed;200;25;10;63;2000;0.2;3.6;15
Liver_raw;150;20;7;70;1500;0.2;3.1;20
Liver_fried;250;27;13;53;1700;0.3;4.2;10
Lobster_boiled;120;22;3.5;72;0;0.1;0.1;0
Loganberries;20;1;0;85;0;0;0.03;40
Luncheon meat (canned);300;13;27;51;0;0.07;0.1;0
Macaroni cheese;170;7;10;67;100;0.03;0.15;0
Macaroni_raw;370;14;2;10;0;0.1;0.06;0
Macaroni_boiled;120;4;0.6;71;0;0;0;0
Mackerel_raw;220;19;16;64;45;0.1;0.35;0
Mackerel_fried;190;22;11;66;50;0.1;0.4;0
Mangoes_fresh;60;0.5;0;83;1000;0.03;0.04;30
Margarine;730;0;81;16;1000;0;0;0
Margarine_low fat spread;370;0;40;57;1000;0;0;0
Marmalade;260;0;0;28;50;0;0;10
Marrow_boiled;7;0.4;0;98;5;0;0;2
Marrow_raw;15;0.6;0;94;5;0;0;5
